Text,Label
"""I feel very sad and empty. I cry all the time.""",Depression
"""My anxiety is out of control, especially in social situations.""",Anxiety
"""Everything feels stressful these days.""",Stress
"""I feel happy and relaxed with my family.""",Healthy
"""I'm not motivated to get out of bed lately.""",Depression
"""Work gives me joy and purpose.""",Healthy
"""I'm having panic attacks and can't breathe well.""",Anxiety
"""I have trouble concentrating and always feel tired.""",Depression
"""Things are going well, no worries lately.""",Healthy
"""I’m constantly worried something bad will happen.""",Anxiety
